medMz	medRt	compound	category	rt_diff	parent	mh_ctrl1	mh_ctrl2	mh_ctrl3	mh_eco1	mh_eco2	mh_eco3	mh_kpn1	mh_kpn2	mh_kpn3	mh_spn1	mh_spn2	mh_spn3
121.0291	0.6787826	4-HYDROXYBENZALDEHYDE	T	-0.004782557	121.0291	0	0	0	0	0	0	-1911011.2	-2672037.6	-3064096.85	-2558304.2	-2670629.2	-2678385.8
121.0291	0.6787826	3-HYDROXYBENZALDEHYDE	T	0.007217407	121.0291	0	0	0	0	0	0	-1911011.2	-2672037.6	-3064096.85	-2558304.2	-2670629.2	-2678385.8
122.0244	0.7084373	NICOTINATE	B-1.5min	1.911563	122.0244	0	0	0	0	-592214.8999999999	-704834.3	-504803.88	-809591.1900000001	-769985.25	-431840.49999999994	-467268.9	-428990.3
145.0501	0.9175498	2-METHYLGLUTARIC ACID	B-1min	0.4124503	145.0501	0	0	0	22372.82	95084.41	99739.82	43410.020000000004	142518.51	0	0	0	0
145.0501	0.9175498	ADIPIC ACID	T	0.3924502	145.0501	0	0	0	22372.82	95084.41	99739.82	43410.020000000004	142518.51	0	0	0	0
145.0501	0.9175498	3-METHYGLUTARIC ACID	T	0.5124502	145.0501	0	0	0	22372.82	95084.41	99739.82	43410.020000000004	142518.51	0	0	0	0
122.0244	0.9273381	NICOTINATE	B-1.5min	1.692662	122.0244	0	0	0	0	-120906.73000000001	-127862.62	-95782.42199999999	-152853.536	-147243.63100000002	0	-94309.60999999999	0
137.0239	1.060668	4-HYDROXYBENZOATE	B-1min	0.2893322	137.0239	0	0	0	0	72682.84	26061.41	0	118893.59	147874.47	89306.03	107764.28	100425.92000000001
137.0239	1.060668	3-HYDROXYBENZOATE	B-1min	0.6293322	137.0239	0	0	0	0	72682.84	26061.41	0	118893.59	147874.47	89306.03	107764.28	100425.92000000001
137.0239	1.060668	4-HYDROXYBENZOATE	B-1min	0.6393322	137.0239	0	0	0	0	72682.84	26061.41	0	118893.59	147874.47	89306.03	107764.28	100425.92000000001
172.0974	1.678469	N-ACETYL-L-LEUCINE	T	-0.07846904	172.0974	0	0	0	0	78987.51999999999	90861.43999999999	0	102292.13999999998	211636.37999999998	0	0	0
