label	metaGroupId	groupId	goodPeakCount	medMz	medRt	maxQuality	note	compound	compoundId	category	database	expectedRtDiff	ppmDiff	parent	ms2EventCount	fragNumIonsMatched	fragFracMatched	ticMatched	dotProduct	weigtedDotProduct	hyperGeomScore	spearmanRankCorrelation	mzFragError	170610_2017_06_09TR_HILICNeg15_Blank6_mid.mzXML	170610_2017_06_09TR_HILICNeg15_Blank7_mid.mzXML	170610_2017_06_09TR_HILICNeg15_MH_CTRL1_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_CTRL1_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_CTRL2_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_CTRL2_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_CTRL3_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_CTRL3_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO1_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO1_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO2_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO2_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO3_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO3_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_KPN1_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_KPN1_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_KPN2_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_KPN2_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_KPN3_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_KPN3_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_SPN1_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_SPN1_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_SPN2_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_SPN2_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_SPN3_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_SPN3_T4.mzXML	
	1	0	0	327.232	0.5374008	0		DOCOSAHEXAENOIC ACID	DOCOSAHEXAENOIC ACID	0	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.009599149	1000	327.232	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4989.465	3437.008	5682.766	3736.58	5236.88	4122.193
	2	1	0	223.1333	0.5502585	0		METHYL JASMONATE	METHYL JASMONATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.05225846	1000	223.1333	0	0	0	0	0	0	0	0	1000	0	697.796	425.3416	412.8144	1365.824	2810.625	1224.357	0	1618.33	954.9086	4046.803	2530.135	2048.34	1352.089	424.8441	978.5325	816.0089	1467.897	1215.11	2641.647	448.241	1193.173	1477.265	2403.369	1852.729	1183.057
	3	2	0	136.0399	0.5550269	0		SALICYLAMIDE	SALICYLAMIDE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.05097306	1000	136.0399	0	0	0	0	0	0	0	0	1000	431.6567	0	1045.118	2160.711	882.4186	0	562.2737	1302.421	3694.738	2740.916	780.0275	1308.976	1670.938	4954.583	1066.582	0	2843.931	1062.361	419.9771	558.1848	980.5366	667.2628	511.4859	2377.646	1228.952	789.0485
	3	2	0	136.0399	0.5550269	0		ANTHRANILATE	ANTHRANILATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.376973	1000	136.0399	0	0	0	0	0	0	0	0	1000	431.6567	0	1045.118	2160.711	882.4186	0	562.2737	1302.421	3694.738	2740.916	780.0275	1308.976	1670.938	4954.583	1066.582	0	2843.931	1062.361	419.9771	558.1848	980.5366	667.2628	511.4859	2377.646	1228.952	789.0485
	3	2	0	136.0399	0.5550269	0		ANTHRANILATE	ANTHRANILATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.1339731	1000	136.0399	0	0	0	0	0	0	0	0	1000	431.6567	0	1045.118	2160.711	882.4186	0	562.2737	1302.421	3694.738	2740.916	780.0275	1308.976	1670.938	4954.583	1066.582	0	2843.931	1062.361	419.9771	558.1848	980.5366	667.2628	511.4859	2377.646	1228.952	789.0485
	3	2	0	136.0399	0.5550269	0		4-AMINOBENZOATE	4-AMINOBENZOATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	1.864973	1000	136.0399	0	0	0	0	0	0	0	0	1000	431.6567	0	1045.118	2160.711	882.4186	0	562.2737	1302.421	3694.738	2740.916	780.0275	1308.976	1670.938	4954.583	1066.582	0	2843.931	1062.361	419.9771	558.1848	980.5366	667.2628	511.4859	2377.646	1228.952	789.0485
	3	2	0	136.0399	0.5550269	0		4-AMINOBENZOATE	4-AMINOBENZOATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.172973	1000	136.0399	0	0	0	0	0	0	0	0	1000	431.6567	0	1045.118	2160.711	882.4186	0	562.2737	1302.421	3694.738	2740.916	780.0275	1308.976	1670.938	4954.583	1066.582	0	2843.931	1062.361	419.9771	558.1848	980.5366	667.2628	511.4859	2377.646	1228.952	789.0485
	3	2	0	136.0399	0.5550269	0		4-AMINOBENZOATE	4-AMINOBENZOATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.371973	1000	136.0399	0	0	0	0	0	0	0	0	1000	431.6567	0	1045.118	2160.711	882.4186	0	562.2737	1302.421	3694.738	2740.916	780.0275	1308.976	1670.938	4954.583	1066.582	0	2843.931	1062.361	419.9771	558.1848	980.5366	667.2628	511.4859	2377.646	1228.952	789.0485
	4	3	0	210.0766	0.5569173	0		3-METHOXY-L-TYROSINE	3-METHOXY-L-TYROSINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	6.733083	1000	210.0766	0	0	0	0	0	0	0	0	1000	762.1914	548.9354	16076.31	19795.38	16535.33	17384.25	18804.73	16904.42	16956.08	17768.71	12476.41	18568.5	15605.76	17810.1	13324.24	12147.42	11962.63	19483.1	16417.62	12204.4	13912	15804.55	15028.5	15957.3	16335.5	17958.95
	5	0	0	391.2844	0.5633289	0		3ALPHA-12ALPHA-DIHYDROXY-5BETA-CHOLANATE	3ALPHA-12ALPHA-DIHYDROXY-5BETA-CHOLANATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.496671	1000	391.2844	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8750.64	8779.834	10467.05	8200.138	12349.88	7289.496
