label	metaGroupId	groupId	goodPeakCount	medMz	medRt	maxQuality	note	compound	compoundId	category	database	expectedRtDiff	ppmDiff	parent	ms2EventCount	fragNumIonsMatched	fragFracMatched	ticMatched	dotProduct	weigtedDotProduct	hyperGeomScore	spearmanRankCorrelation	mzFragError	170610_2017_06_09TR_HILICNeg15_Blank6_mid.mzXML	170610_2017_06_09TR_HILICNeg15_MH_CTRL1_T4.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO2_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_SPN3_T4.mzXML	
	1	0	0	223.1332	0.5323822	0		METHYL JASMONATE	METHYL JASMONATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.03438219	1000	223.1332	0	0	0	0	0	0	0	0	1000	0	412.8144	4046.803	1183.057
	2	3	0	210.0765	0.5431613	0		3-METHOXY-L-TYROSINE	3-METHOXY-L-TYROSINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	6.746839	1000	210.0765	0	0	0	0	0	0	0	0	1000	762.1914	19795.38	12476.41	17958.95
	3	0	0	391.2846	0.5611617	0		3ALPHA-12ALPHA-DIHYDROXY-5BETA-CHOLANATE	3ALPHA-12ALPHA-DIHYDROXY-5BETA-CHOLANATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.1778383	1000	391.2846	0	0	0	0	0	0	0	0	1000	0	0	0	7289.496
	3	0	0	391.2846	0.5611617	0		CHENODEOXYCHOLATE	CHENODEOXYCHOLATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.1828383	1000	391.2846	0	0	0	0	0	0	0	0	1000	0	0	0	7289.496
	3	0	0	391.2846	0.5611617	0		3ALPHA-12ALPHA-DIHYDROXY-5BETA-CHOLANATE	3ALPHA-12ALPHA-DIHYDROXY-5BETA-CHOLANATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.4988382	1000	391.2846	0	0	0	0	0	0	0	0	1000	0	0	0	7289.496
	3	0	0	391.2846	0.5611617	0		DEOXYCHOLATE	DEOXYCHOLATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.4988382	1000	391.2846	0	0	0	0	0	0	0	0	1000	0	0	0	7289.496
	3	0	0	391.2846	0.5611617	0		DEOXYCHOLATE	DEOXYCHOLATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.1648383	1000	391.2846	0	0	0	0	0	0	0	0	1000	0	0	0	7289.496
	3	0	0	391.2846	0.5611617	0		CHENODEOXYCHOLATE	CHENODEOXYCHOLATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.5288383	1000	391.2846	0	0	0	0	0	0	0	0	1000	0	0	0	7289.496
	4	0	0	187.1335	0.5659711	0		10-HYDROXYDECANOATE	10-HYDROXYDECANOATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.1180289	1000	187.1335	0	0	0	0	0	0	0	0	1000	971.9359	0	1007.152	6584.721
	4	0	0	187.1335	0.5659711	0		10-HYDROXYDECANOATE	10-HYDROXYDECANOATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.3510289	1000	187.1335	0	0	0	0	0	0	0	0	1000	971.9359	0	1007.152	6584.721
	5	0	0	343.0642	0.5670661	0		THIAMINE MONOPHOSPHATE	THIAMINE MONOPHOSPHATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	5.342934	1000	343.0642	0	0	0	0	0	0	0	0	1000	0	24283.69	32325.48	15705.23
	5	0	0	343.0642	0.5670661	0		THIAMINE MONOPHOSPHATE	THIAMINE MONOPHOSPHATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	8.112934	1000	343.0642	0	0	0	0	0	0	0	0	1000	0	24283.69	32325.48	15705.23
	6	0	0	215.1646	0.5762625	0		OMEGA-HYDROXYDODECANOIC ACID	OMEGA-HYDROXYDODECANOIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.3087375	1000	215.1646	0	0	0	0	0	0	0	0	1000	328.1313	0	0	7506.599
	6	0	0	215.1646	0.5762625	0		OMEGA-HYDROXYDODECANOIC ACID	OMEGA-HYDROXYDODECANOIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.005262494	1000	215.1646	0	0	0	0	0	0	0	0	1000	328.1313	0	0	7506.599
	7	1	0	163.0396	0.6102075	0		4-COUMARATE	4-COUMARATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	1.009793	1000	163.0396	0	0	0	0	0	0	0	0	1000	687.5019	9857.448	6644.847	9126.573
	7	1	0	163.0396	0.6102075	0		PHENYLPYRUVATE	PHENYLPYRUVATE	B-8min	2017_05_10RG_HILIC15-Neg_MSMLS-List	5.249793	1000	163.0396	0	0	0	0	0	0	0	0	1000	687.5019	9857.448	6644.847	9126.573
