label	metaGroupId	groupId	goodPeakCount	medMz	medRt	maxQuality	note	compound	compoundId	category	database	expectedRtDiff	ppmDiff	parent	ms2EventCount	fragNumIonsMatched	fragFracMatched	ticMatched	dotProduct	weigtedDotProduct	hyperGeomScore	spearmanRankCorrelation	mzFragError	170610_2017_06_09TR_HILICNeg15_MH_ECO2_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO2_T4.mzXML	
	1	1	1	210.0766	0.5694534	0.7618731		3-METHOXY-L-TYROSINE	3-METHOXY-L-TYROSINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	6.720547	1000	210.0766	0	0	0	0	0	0	0	0	1000	12476.41	18568.5
	2	3	1	121.0291	0.6792892	0.7310779		4-HYDROXYBENZALDEHYDE	4-HYDROXYBENZALDEHYDE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.005289137	1000	121.0291	0	0	0	0	0	0	0	0	1000	2755836	2421417
	2	3	1	121.0291	0.6792892	0.7310779		3-HYDROXYBENZALDEHYDE	3-HYDROXYBENZALDEHYDE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.006710827	1000	121.0291	0	0	0	0	0	0	0	0	1000	2755836	2421417
	3	5	2	151.0396	0.7053883	0.590521		4-HYDROXYPHENYLACETATE	4-HYDROXYPHENYLACETATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.6746117	1000	151.0396	0	0	0	0	0	0	0	0	1000	79831.1	106200.7
	3	5	2	151.0396	0.7053883	0.590521		2-HYDROXYPHENYLACETIC ACID	2-HYDROXYPHENYLACETIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	1.594612	1000	151.0396	0	0	0	0	0	0	0	0	1000	79831.1	106200.7
	3	5	2	151.0396	0.7053883	0.590521		2-4-DIHYDROXYACETOPHENONE	2-4-DIHYDROXYACETOPHENONE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.03638828	1000	151.0396	0	0	0	0	0	0	0	0	1000	79831.1	106200.7
	3	5	2	151.0396	0.7053883	0.590521		3-HYDROXYPHENYLACETATE	3-HYDROXYPHENYLACETATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.1066117	1000	151.0396	0	0	0	0	0	0	0	0	1000	79831.1	106200.7
	3	5	2	151.0396	0.7053883	0.590521		3-HYDROXYPHENYLACETATE	3-HYDROXYPHENYLACETATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.8346117	1000	151.0396	0	0	0	0	0	0	0	0	1000	79831.1	106200.7
	3	5	2	151.0396	0.7053883	0.590521		MANDELIC ACID	MANDELIC ACID	B-4min	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.654612	1000	151.0396	0	0	0	0	0	0	0	0	1000	79831.1	106200.7
	3	5	2	151.0396	0.7053883	0.590521		RESORCINOL MONOACETATE	RESORCINOL MONOACETATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.03538829	1000	151.0396	0	0	0	0	0	0	0	0	1000	79831.1	106200.7
	4	3	2	151.0257	0.7841375	0.7471827		XANTHINE	XANTHINE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.1128625	1000	151.0257	0	0	0	0	0	0	0	0	1000	278616.4	295610.8
	4	3	2	151.0257	0.7841375	0.7471827		XANTHINE	XANTHINE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.135863	1000	151.0257	0	0	0	0	0	0	0	0	1000	278616.4	295610.8
	4	3	2	151.0257	0.7841375	0.7471827		XANTHINE	XANTHINE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.3358625	1000	151.0257	0	0	0	0	0	0	0	0	1000	278616.4	295610.8
	5	6	1	151.0396	0.894625	0.7588643		2-HYDROXYPHENYLACETIC ACID	2-HYDROXYPHENYLACETIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	1.405375	1000	151.0396	0	0	0	0	0	0	0	0	1000	24479.31	29863.52
	5	6	1	151.0396	0.894625	0.7588643		3-HYDROXYPHENYLACETATE	3-HYDROXYPHENYLACETATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.08262503	1000	151.0396	0	0	0	0	0	0	0	0	1000	24479.31	29863.52
	5	6	1	151.0396	0.894625	0.7588643		3-HYDROXYPHENYLACETATE	3-HYDROXYPHENYLACETATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.645375	1000	151.0396	0	0	0	0	0	0	0	0	1000	24479.31	29863.52
	5	6	1	151.0396	0.894625	0.7588643		RESORCINOL MONOACETATE	RESORCINOL MONOACETATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.224625	1000	151.0396	0	0	0	0	0	0	0	0	1000	24479.31	29863.52
	5	6	1	151.0396	0.894625	0.7588643		2-4-DIHYDROXYACETOPHENONE	2-4-DIHYDROXYACETOPHENONE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.225625	1000	151.0396	0	0	0	0	0	0	0	0	1000	24479.31	29863.52
	5	6	1	151.0396	0.894625	0.7588643		4-HYDROXYPHENYLACETATE	4-HYDROXYPHENYLACETATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.485375	1000	151.0396	0	0	0	0	0	0	0	0	1000	24479.31	29863.52
	5	6	1	151.0396	0.894625	0.7588643		MANDELIC ACID	MANDELIC ACID	B-4min	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.465375	1000	151.0396	0	0	0	0	0	0	0	0	1000	24479.31	29863.52
	6	5	2	173.0814	0.9104183	0.7918864		SUBERIC ACID	SUBERIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.05058169	1000	173.0814	0	0	0	0	0	0	0	0	1000	10703.62	17454.08
	7	4	1	145.0501	0.9210483	0.7564079		3-METHYGLUTARIC ACID	3-METHYGLUTARIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.5089517	1000	145.0501	0	0	0	0	0	0	0	0	1000	24531.69	119616.1
	8	5	1	122.0243	0.9210483	0.7732934		NICOTINATE	NICOTINATE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	1.698952	1000	122.0243	0	0	0	0	0	0	0	0	1000	154450	33543.27
	7	4	1	145.0501	0.9210483	0.7564079		2-METHYLGLUTARIC ACID	2-METHYLGLUTARIC ACID	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.4089518	1000	145.0501	0	0	0	0	0	0	0	0	1000	24531.69	119616.1
	7	4	1	145.0501	0.9210483	0.7564079		ADIPIC ACID	ADIPIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.3889517	1000	145.0501	0	0	0	0	0	0	0	0	1000	24531.69	119616.1
	9	6	2	137.0239	1.065152	0.8178962		4-HYDROXYBENZOATE	4-HYDROXYBENZOATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.2848476	1000	137.0239	0	0	0	0	0	0	0	0	1000	37368.46	110051.3
	9	6	2	137.0239	1.065152	0.8178962		SALICYLATE	SALICYLATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.394848	1000	137.0239	0	0	0	0	0	0	0	0	1000	37368.46	110051.3
	9	6	2	137.0239	1.065152	0.8178962		3-HYDROXYBENZOATE	3-HYDROXYBENZOATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.6248477	1000	137.0239	0	0	0	0	0	0	0	0	1000	37368.46	110051.3
	9	6	2	137.0239	1.065152	0.8178962		4-HYDROXYBENZOATE	4-HYDROXYBENZOATE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.6348476	1000	137.0239	0	0	0	0	0	0	0	0	1000	37368.46	110051.3
	10	2	1	179.0556	1.163627	0.7753791		ALPHA-D-GLUCOSE	ALPHA-D-GLUCOSE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.456373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		MANNOSE	MANNOSE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.886374	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-GALACTOSE	D-GALACTOSE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.516373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		ALLOSE	ALLOSE	B1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.646373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-PSICOSE	D-PSICOSE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.536373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		ALLOSE	ALLOSE	B1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.636374	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		MYO-INOSITOL	MYO-INOSITOL	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	5.656374	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-GALACTOSE	D-GALACTOSE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	6.566373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		L-SORBOSE	L-SORBOSE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.336373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-TAGATOSE	D-TAGATOSE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.156374	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-TAGATOSE	D-TAGATOSE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.466373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-FRUCTOSE	D-FRUCTOSE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.286373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-GALACTOSE	D-GALACTOSE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.726373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
