medMz	medRt	compound	category	rt_diff	parent	mh_eco2
145.0501	0.9210483	ADIPIC ACID	T	0.3889517	145.0501	-95084.41
137.0239	1.065152	4-HYDROXYBENZOATE	B-1min	0.2848476	137.0239	-72682.84
172.0974	1.670247	N-ACETYL-L-LEUCINE	T	-0.07024658	172.0974	-78987.51999999999
178.0504	2.145442	HIPPURATE	T	0.2345586	178.0504	125390.60999999999
190.0538	2.67745	N-ACETYL-DL-METHIONINE	B-1min	-0.1174502	190.0538	-138194.26
115.0033	4.343451	FUMARATE	T	0.3065495	115.0033	-2426884.1
135.0308	4.461067	HYPOXANTHINE	T	-0.03106689	135.0308	1623970.2
134.0468	4.833	ADENINE	T	-0.2530003	134.0468	12046884.24
134.0468	4.833	ADENINE	T	-0.04300022	134.0468	12046884.24
134.0468	4.833	ADENINE	T	-0.243	134.0468	12046884.24
179.0555	5.37635	D-TAGATOSE	B-1.5min	0.2536502	179.0555	381729.9
179.0555	5.37635	D-FRUCTOSE	T	-0.1963501	179.0555	381729.9
179.0555	5.37635	D-GALACTOSE	B-2min	0.3036499	179.0555	381729.9
179.0555	5.37635	ALPHA-D-GLUCOSE	B-2min	0.24365	179.0555	381729.9
179.0555	5.37635	D-TAGATOSE	B-1.5min	-0.1863499	179.0555	381729.9
179.0555	5.37635	MANNOSE	T	-0.3263497	179.0555	381729.9
179.0555	5.37635	D-FRUCTOSE	T	0.24365	179.0555	381729.9
174.0402	5.670016	N-ACETYL-L-ASPARTIC ACID	T	0.07998371	174.0402	-256721.59000000003
150.0416	5.911867	GUANINE	T	0.02813339	150.0416	210730.1
341.1078	7.974833	D-[+]-TREHALOSE	T	0.1551671	341.1078	104628.4
341.1078	7.974833	PALATINOSE	T	-0.184833	341.1078	104628.4
341.1078	7.974833	MELIBIOSE	T	0.2251668	341.1078	104628.4
341.1078	7.974833	D-LACTOSE	T	-0.1148329	341.1078	104628.4
341.1078	7.974833	MALTOSE	T	0.01516676	341.1078	104628.4
341.1078	7.974833	D-[+]-CELLOBIOSE	T	0.01516676	341.1078	104628.4
341.1078	7.974833	D-[+]-CELLOBIOSE	T	-0.3648329	341.1078	104628.4
341.1078	7.974833	D-LACTOSE	T	0.07516718	341.1078	104628.4
341.1078	7.974833	SUCROSE	T	-0.1448331	341.1078	104628.4
118.0506	8.071842	L-ALLOTHREONINE	T	-0.03184223	118.0506	5014640.35
118.0506	8.071842	HOMOSERINE	T	0.02815819	118.0506	5014640.35
118.0506	8.071842	L-THREONINE	T	-0.06184196	118.0506	5014640.35
104.035	8.217508	L-SERINE	T	-0.02750874	104.035	5739450.775
189.0877	8.305508	LL-2-6-DIAMINOHEPTANEDIOATE	T	0.3844919	189.0877	157441.772
219.0979	8.345833	2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE	T	-0.3158331	219.0979	140790.089
132.0298	8.517992	L-ASPARTATE	T	0.002008438	132.0298	3353738.3
132.0298	8.517992	D-ASPARTATE	T	-0.007991791	132.0298	3353738.3
88.04009	8.528324	SARCOSINE	T	-0.0183239	88.04009	257763.87
145.0977	8.631808	L-LYSINE	0	-0.001808167	145.0977	1469478.8
225.0986	8.6421	CARNOSINE	T	-0.02210045	225.0986	48628.45999999999
